object_id,ra,dec,phot_z,stellar_mass,P_merge,vis_class,tidal_feature_vis,shell,stream,tail,plume,double_nucleus,vis_class_flag
41623408533856822,352.9650469052412,-0.6391306863372429,0.3037397861480713,80201998336.0,0.5408846735954285,1,0,0,0,0,0,0,0
43163008280580158,151.77071410426785,2.7560771179261314,0.17752429842948914,57144999936.0,0.568475604057312,1,0,0,0,0,0,0,0
38557957230709574,37.489104163737025,-4.157446923511679,0.16616472601890564,66410000384.0,0.7966200113296509,1,1,0,0,0,1,0,0
42090009485933412,149.50482645399663,0.806916457871651,0.17514128983020782,4163399936.0,0.6927627325057983,1,0,0,0,0,0,0,0
41619130746436002,351.3021502722176,-1.2823842187593502,0.22261114418506622,4836199936.0,0.8612127304077148,1,1,0,0,0,1,1,0
75338974821917716,242.81527810126704,54.74504913721249,0.15984280407428741,7544300032.0,0.8250626921653748,1,0,0,0,0,0,0,0
37494325759726355,36.557282472067875,-5.239771853296286,0.21533538401126862,139499995136.0,0.7820909023284912,1,0,0,0,0,0,0,0
41619830826106481,350.4030146765085,-0.7087796061726507,0.11619717627763748,8574900224.0,0.8595498204231262,1,1,1,0,0,0,0,0
75959369962912371,243.226846615512,55.928196969185365,0.18995149433612823,24760999936.0,0.9954530000686646,1,0,0,0,0,0,0,0
38558094669666099,37.46119381808852,-4.136163992052632,0.2224925011396408,17323999232.0,0.763278603553772,1,0,0,0,0,0,0,0
75338824498053270,243.28224423171594,54.086484462498255,0.2245311588048935,31633000448.0,0.7129750847816467,1,1,0,0,0,1,0,0
42687864638574911,351.33901604315565,0.616253675888549,0.17579996585845947,12721000448.0,0.5674304962158203,1,0,0,0,0,0,0,0
37493651449869819,37.605917147544055,-4.571285371501642,0.2761339843273163,118059999232.0,0.9107917547225952,1,1,0,0,0,1,0,0
43158747673024239,150.01043981632412,2.7931135377075216,0.26083627343177795,176499998720.0,0.3451169729232788,1,1,0,0,0,1,1,0
37494342939596494,36.70156031803082,-4.464147468213631,0.3257041275501251,77110001664.0,0.7940508127212524,1,0,0,0,0,0,0,0
43158730493160765,150.08023756998384,2.064790832806928,0.3048956096172333,164449992704.0,0.47603410482406616,1,1,0,0,1,0,0,0
