Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
ESO160-002_GROUP,"{Streams: 5, No: 1, Plumes: 1, Tails: 1}",1,5,1,1,0,0,0,0,Streams,0.63,,87.81250681916126,-53.57488558310089
ESO186-012,"{No: 4, Streams: 1, Spiral: 1, Plumes: 1, Tails: 1}",4,1,1,1,0,0,1,0,Streams,0.12,,303.0987849769999,-54.36022044923629
ESO202-023_GROUP,"{Streams: 6, No: 1, Tails: 1}",1,6,1,0,0,0,0,0,Streams,0.75,,67.0000116987654,-47.91255228512091
ESO203-016,"{No: 4, Streams: 1, Shells: 1, Tails: 1, Curiosities: 1}",4,1,1,0,1,0,0,1,Streams,0.12,,75.50260484154342,-48.64618194391618
ESO205-033,"{Plumes: 3, Streams: 3, No: 1, Tails: 1}",1,3,1,3,0,0,0,0,Streams,0.38,,93.25096350027285,-52.46140234953153
ESO234-021,"{Tails: 1, Streams: 3, No: 3, Disturbed: 1}",3,3,1,0,0,1,0,0,Streams,0.37,,306.08340409384266,-49.684638641148325
ESO235-045_GROUP,"{Plumes: 1, No: 4, Streams: 3}",4,3,0,1,0,0,0,0,Streams,0.38,,315.9551277955557,-50.365482986041116
ESO237-030,"{No: 3, Tails: 1, Streams: 2, Spiral: 2}",3,2,1,0,0,0,2,0,Streams,0.25,,330.7680648631233,-50.441946685749194
ESO238-004,"{Shells: 1, Streams: 3, No: 3, Tails: 1}",3,3,1,0,1,0,0,0,Streams,0.37,,335.31482234079743,-48.35135295792169
ESO239-005,"{Streams: 4, No: 2, Spiral: 1, Tails: 1}",2,4,1,0,0,0,1,0,Streams,0.5,,344.6489459451911,-47.67439617972788
ESO240-010_GROUP,"{Tails: 3, Streams: 4, No: 1}",1,4,3,0,0,0,0,0,Streams,0.5,,354.43488744125756,-47.506293782149406
ESO240-011,"{Streams: 6, No: 2}",2,6,0,0,0,0,0,0,Streams,0.75,,354.4561306318676,-47.72701783579507
ESO245-010,"{Tails: 3, Streams: 5}",0,5,3,0,0,0,0,0,Streams,0.62,,29.185499770147743,-43.97275678722715
ESO251-001_GROUP,"{Shells: 1, Streams: 3, Disturbed: 1, Tails: 3}",0,3,3,0,1,1,0,0,Streams,0.38,,66.91879528235697,-42.77733542548414
ESO251-002_GROUP,"{Plumes: 2, Streams: 2, Shells: 2, No: 1, Tails: 1}",1,2,1,2,2,0,0,0,Streams,0.26,,66.99809955584098,-42.838676541336426
ESO253-030,"{No: 4, Streams: 1, Plumes: 1, Shells: 1, Curiosities: 1}",4,1,0,1,1,0,0,1,Streams,0.12,,87.4700094424886,-43.399082950463786
ESO285-050_GROUP,"{Tails: 2, Streams: 2, No: 3, Plumes: 1}",3,2,2,1,0,0,0,0,Streams,0.25,,311.3805701129335,-43.52995915590419
ESO286-035_GROUP,"{Streams: 5, No: 3}",3,5,0,0,0,0,0,0,Streams,0.62,,316.04665973120717,-43.59272509821265
ESO286-042,"{Disturbed: 1, Streams: 2, No: 3, Plumes: 1, Shells: 1}",3,2,0,1,1,1,0,0,Streams,0.25,,316.3791334665982,-47.04566202705503
ESO286-047_GROUP,"{Streams: 6, No: 1, Tails: 1}",1,6,1,0,0,0,0,0,Streams,0.75,,316.5973230487686,-43.50771980429883
ESO286-082,"{Tails: 2, Spiral: 2, Streams: 2, No: 2}",2,2,2,0,0,0,2,0,Streams,0.25,,318.9403128894601,-42.42707398174807
ESO287-007_GROUP,"{Disturbed: 1, No: 4, Streams: 3}",4,3,0,0,0,1,0,0,Streams,0.38,,319.9218585428291,-45.11754604152045
ESO287-018,"{Streams: 5, No: 3, Spiral: 1}",3,5,0,0,0,0,1,0,Streams,0.56,,321.3376243536634,-42.7400484837794
ESO287-027,"{Curiosities: 1, Streams: 3, No: 4}",4,3,0,0,0,0,0,1,Streams,0.38,,321.9491756661763,-42.93398288372761
ESO287-046,"{Streams: 4, Spiral: 3, No: 1}",1,4,0,0,0,0,3,0,Streams,0.5,,325.001922754733,-44.09540652356352
ESO298-014_GROUP,"{Plumes: 1, No: 4, Streams: 1, Disturbed: 1, Tails: 1}",4,1,1,1,0,1,0,0,Streams,0.12,,32.60304215302375,-42.087666290377754
ESO298-016,"{Streams: 5, No: 2, Tails: 1}",2,5,1,0,0,0,0,0,Streams,0.62,*,32.727597962902095,-39.3658191120266
