ra,dec,source
134.981278,-5.050979,1301_4275
135.19812,-4.994212,1301_4275
135.290176,-4.718444,1301_4275
135.987289,-5.535717,1301_4275
135.99942,-5.529022,1301_4275
136.320755,-5.47367,1301_4275
135.926346,-5.412499,1301_4275
136.241318,-5.355691,1301_4275
136.099869,-5.212903,1301_4275
136.468353,-5.018272,1301_4275
136.124847,-4.951866,1301_4275
136.312515,-4.889222,1301_4275
132.516892,-4.67436,1301_4275
132.302368,-4.405945,1301_4275
132.527802,-4.330365,1301_4275
132.17511,-4.326365,1301_4275
132.787613,-4.175069,1301_4275
132.804611,-4.138937,1301_4275
132.889358,-4.113917,1301_4275
132.73172,-4.100234,1301_4275
132.305405,-3.988713,1301_4275
133.395615,-4.607748,1301_4275
133.40741,-4.60237,1301_4275
133.442429,-4.486828,1301_4275
133.775757,-4.406029,1301_4275
133.601166,-4.379664,1301_4275
133.64006,-4.101349,1301_4275
133.310883,-3.883724,1301_4275
134.109619,-4.629538,1301_4275
134.482361,-4.607965,1301_4275
134.342041,-4.608329,1301_4275
134.737427,-4.563935,1301_4275
134.83696,-4.544373,1301_4275
134.498932,-4.542769,1301_4275
134.077087,-4.34359,1301_4275
134.182358,-4.220983,1301_4275
134.123688,-4.147353,1301_4275
134.718765,-4.170416,1301_4275
134.002884,-4.108618,1301_4275
134.065872,-4.033625,1301_4275
135.343567,-4.670206,1301_4275
135.494507,-4.61828,1301_4275
135.814468,-4.608713,1301_4275
135.184586,-4.595252,1301_4275
135.829803,-4.548098,1301_4275
135.021881,-4.459963,1301_4275
135.588928,-4.460535,1301_4275
135.479981,-4.429192,1301_4275
135.259399,-4.396011,1301_4275
134.994598,-4.369384,1301_4275
135.248123,-4.217878,1301_4275
134.998444,-4.18859,1301_4275
134.93132,-4.192882,1301_4275
135.061218,-4.141319,1301_4275
135.095703,-4.120724,1301_4275
135.039917,-4.100404,1301_4275
135.048904,-4.013731,1301_4275
135.229477,-3.986971,1301_4275
136.716858,-4.619988,1301_4275
136.398773,-4.613728,1301_4275
136.051926,-4.373498,1301_4275
135.990906,-4.301221,1301_4275
136.584213,-4.188684,1301_4275
136.581207,-4.017592,1301_4275
136.666214,-4.009181,1301_4275
135.934112,-3.931017,1301_4275
132.611786,-3.303008,1301_4275
132.380005,-3.304142,1301_4275
133.701965,-3.148548,1301_4275
133.198395,-3.092494,1301_4275
133.253647,-3.035109,1301_4275
134.59259,-3.565807,1301_4275
134.759598,-3.083574,1301_4275
134.600677,-3.026728,1301_4275
134.304062,-2.872144,1301_4275
135.73204,-3.453702,1301_4275
134.988358,-3.436502,1301_4275
135.14885,-3.420034,1301_4275
135.237701,-3.397559,1301_4275
135.975525,-3.76042,1301_4275
136.415604,-3.701932,1301_4275
136.535477,-3.297325,1301_4275
136.346664,-3.095819,1301_4275
132.558639,-2.512032,1301_4275
132.204147,-2.317823,1301_4275
132.264084,-2.186942,1301_4275
132.347031,-2.104322,1301_4275
132.341003,-2.086731,1301_4275
132.714615,-2.051213,1301_4275
135.001083,-2.756109,1301_4275
135.463547,-2.664347,1301_4275
135.711639,-2.611654,1301_4275
135.584045,-2.439234,1301_4275
135.159592,-2.046415,1301_4275
136.102127,-2.623159,1301_4275
136.207016,-2.571914,1301_4275
136.776611,-2.564915,1301_4275
136.51889,-2.467287,1301_4275
135.909988,-2.330835,1301_4275
136.003708,-2.278247,1301_4275
136.748779,-2.154649,1301_4275
132.321686,-1.756479,1301_4275
132.929489,-1.555087,1301_4275
132.477875,-1.434345,1301_4275
133.975159,-1.899,1301_4275
133.381226,-1.699979,1301_4275
133.83194,-1.68238,1301_4275
133.312698,-1.648569,1301_4275
133.2845,-1.647511,1301_4275
133.75824,-1.338264,1301_4275
134.482437,-1.490402,1301_4275
134.066177,-1.477762,1301_4275
134.37529,-1.393179,1301_4275
134.140808,-0.982172,1301_4275
135.488373,-1.913194,1301_4275
135.470764,-1.443076,1301_4275
134.959381,-1.356144,1301_4275
135.347717,-1.266364,1301_4275
135.60199,-1.262184,1301_4275
136.503021,-1.555141,1301_4275
136.488342,-1.530554,1301_4275
136.606049,-1.40679,1301_4275
136.289154,-1.18199,1301_4275
136.284973,-1.148197,1301_4275
136.328873,-1.149851,1301_4275
136.787796,-1.057288,1301_4275
136.018036,-1.033201,1301_4275
209.808914,51.24403,1301_4275
210.462769,51.332729,1301_4275
209.485474,51.354378,1301_4275
209.821686,51.385986,1301_4275
210.130035,51.64286,1301_4275
210.094452,51.859917,1301_4275
209.93837,52.025921,1301_4275
210.942337,51.332611,1301_4275
211.455597,51.391953,1301_4275
212.006683,51.707348,1301_4275
211.849899,51.834339,1301_4275
211.486053,51.917835,1301_4275
211.724411,52.029446,1301_4275
211.034622,52.074902,1301_4275
212.357788,51.231632,1301_4275
212.391144,51.295437,1301_4275
212.435638,51.484604,1301_4275
212.625275,52.130371,1301_4275
213.814575,51.231358,1301_4275
213.848114,51.443409,1301_4275
214.09906,51.482929,1301_4275
213.78479,51.613769,1301_4275
214.616455,51.634003,1301_4275
213.963867,51.856842,1301_4275
213.89679,51.864822,1301_4275
214.878281,51.924484,1301_4275
214.745422,52.028076,1301_4275
213.96843,52.052456,1301_4275
213.995758,52.050819,1301_4275
213.957642,52.054176,1301_4275
213.765137,52.07616,1301_4275
213.817093,52.08234,1301_4275
214.609482,52.147411,1301_4275
214.050446,52.160267,1301_4275
215.867218,51.330772,1301_4275
215.869675,51.918484,1301_4275
215.896591,52.154884,1301_4275
217.666061,51.258587,1301_4275
216.790588,51.329815,1301_4275
217.458588,51.692394,1301_4275
217.168594,51.72237,1301_4275
217.373825,51.74181,1301_4275
217.168747,52.056721,1301_4275
218.759338,51.467274,1301_4275
218.496979,51.510536,1301_4275
218.268997,51.522354,1301_4275
219.370926,51.582718,1301_4275
219.326599,51.612659,1301_4275
219.349945,51.646694,1301_4275
219.128418,51.660389,1301_4275
218.992279,51.692577,1301_4275
219.359604,51.694965,1301_4275
219.439178,51.735279,1301_4275
219.424499,51.763504,1301_4275
218.930649,51.769669,1301_4275
219.180328,51.791294,1301_4275
219.410309,51.792931,1301_4275
219.153854,51.920685,1301_4275
218.736588,51.970367,1301_4275
218.435577,51.974934,1301_4275
